Transaction_ID,Timestamp,Amount,Payment_Method,IP_Address,Location,Device_Info,Label
100037,2024-01-01 00:37:00,10.28,Debit Card,192.168.100.199,"Mumbai, India",iPhone 12,Legitimate
100038,2024-01-01 00:38:00,115.28,Credit Card,192.168.161.56,"New York, USA",MacBook Pro,Legitimate
100039,2024-01-01 00:39:00,58.01,Credit Card,192.168.164.133,"Tokyo, Japan",MacBook Pro,Legitimate
100040,2024-01-01 00:40:00,13.02,PayPal,192.168.70.172,"Sydney, Australia",Android Pixel 6,Legitimate
100041,2024-01-01 00:41:00,68.35,Credit Card,192.168.168.102,"Sydney, Australia",Windows 10 PC,Legitimate
100042,2024-01-01 00:42:00,3.5,PayPal,192.168.227.132,"Tokyo, Japan",MacBook Pro,Legitimate
100043,2024-01-01 00:43:00,240.04,Net Banking,192.168.59.194,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100044,2024-01-01 00:44:00,29.95,Credit Card,192.168.144.210,"Tokyo, Japan",Android Pixel 6,Legitimate
100045,2024-01-01 00:45:00,108.63,Credit Card,192.168.108.192,"Tokyo, Japan",iPhone 12,Legitimate
100046,2024-01-01 00:46:00,37.35,PayPal,192.168.100.182,"Berlin, Germany",Android Pixel 6,Fraudulent
100047,2024-01-01 00:47:00,73.41,Net Banking,192.168.8.131,"Sydney, Australia",MacBook Pro,Legitimate
100048,2024-01-01 00:48:00,79.12,Net Banking,192.168.169.173,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100049,2024-01-01 00:49:00,20.44,Debit Card,192.168.73.95,"Sydney, Australia",MacBook Pro,Legitimate
100050,2024-01-01 00:50:00,349.28,PayPal,192.168.128.86,"Berlin, Germany",iPhone 12,Legitimate
100051,2024-01-01 00:51:00,149.22,PayPal,192.168.114.144,"New York, USA",Android Pixel 6,Legitimate
100052,2024-01-01 00:52:00,280.51,Net Banking,192.168.115.221,"Sydney, Australia",iPhone 12,Legitimate
100053,2024-01-01 00:53:00,225.22,PayPal,192.168.127.90,"Berlin, Germany",MacBook Pro,Legitimate
100054,2024-01-01 00:54:00,91.11,Credit Card,192.168.248.78,"New York, USA",MacBook Pro,Legitimate
100055,2024-01-01 00:55:00,254.94,Credit Card,192.168.117.229,"New York, USA",Android Pixel 6,Legitimate
100056,2024-01-01 00:56:00,9.27,Credit Card,192.168.6.224,"New York, USA",MacBook Pro,Legitimate
100057,2024-01-01 00:57:00,21.81,PayPal,192.168.132.179,"Berlin, Germany",Windows 10 PC,Legitimate
100058,2024-01-01 00:58:00,4.63,Debit Card,192.168.115.102,"New York, USA",Android Pixel 6,Legitimate
100059,2024-01-01 00:59:00,39.35,Debit Card,192.168.225.52,"Mumbai, India",iPhone 12,Legitimate
100060,2024-01-01 01:00:00,49.21,Net Banking,192.168.118.2,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100061,2024-01-01 01:01:00,31.66,PayPal,192.168.61.31,"Mumbai, India",MacBook Pro,Legitimate
100062,2024-01-01 01:02:00,176.46,Net Banking,192.168.1.79,"Mumbai, India",Samsung Galaxy S21,Legitimate
100063,2024-01-01 01:03:00,44.12,PayPal,192.168.123.80,"Sydney, Australia",iPhone 12,Legitimate
100064,2024-01-01 01:04:00,32.98,Debit Card,192.168.52.139,"Mumbai, India",Samsung Galaxy S21,Legitimate
100065,2024-01-01 01:05:00,78.24,Credit Card,192.168.123.132,"New York, USA",Android Pixel 6,Legitimate
100066,2024-01-01 01:06:00,15.19,PayPal,192.168.3.55,"Tokyo, Japan",iPhone 12,Legitimate
100067,2024-01-01 01:07:00,162.05,Debit Card,192.168.79.209,"Mumbai, India",Android Pixel 6,Legitimate
100068,2024-01-01 01:08:00,7.75,Debit Card,192.168.254.191,"Sydney, Australia",Android Pixel 6,Legitimate
100069,2024-01-01 01:09:00,433.41,Debit Card,192.168.44.187,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100070,2024-01-01 01:10:00,147.95,Credit Card,192.168.147.52,"Berlin, Germany",Windows 10 PC,Legitimate
100071,2024-01-01 01:11:00,22.15,Debit Card,192.168.72.15,"New York, USA",Android Pixel 6,Legitimate
100072,2024-01-01 01:12:00,0.55,Net Banking,192.168.226.92,"Mumbai, India",Android Pixel 6,Legitimate
100073,2024-01-01 01:13:00,168.99,Debit Card,192.168.112.29,"Tokyo, Japan",iPhone 12,Legitimate
100074,2024-01-01 01:14:00,122.71,Debit Card,192.168.19.105,"Berlin, Germany",Windows 10 PC,Legitimate
100075,2024-01-01 01:15:00,130.57,PayPal,192.168.213.86,"Tokyo, Japan",MacBook Pro,Legitimate
100076,2024-01-01 01:16:00,147.52,PayPal,192.168.179.35,"New York, USA",Android Pixel 6,Legitimate
100077,2024-01-01 01:17:00,7.69,PayPal,192.168.21.128,"Sydney, Australia",iPhone 12,Legitimate
100078,2024-01-01 01:18:00,44.39,Debit Card,192.168.20.175,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100079,2024-01-01 01:19:00,12.32,Debit Card,192.168.234.210,"New York, USA",iPhone 12,Legitimate
100080,2024-01-01 01:20:00,198.85,Net Banking,192.168.199.4,"Tokyo, Japan",Windows 10 PC,Legitimate
100081,2024-01-01 01:21:00,97.63,Credit Card,192.168.246.119,"Tokyo, Japan",iPhone 12,Legitimate
100082,2024-01-01 01:22:00,40.18,Debit Card,192.168.167.220,"Tokyo, Japan",MacBook Pro,Legitimate
100083,2024-01-01 01:23:00,6.57,Credit Card,192.168.81.220,"New York, USA",Samsung Galaxy S21,Legitimate
100084,2024-01-01 01:24:00,37.25,Debit Card,192.168.78.241,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100085,2024-01-01 01:25:00,39.33,Credit Card,192.168.44.158,"Berlin, Germany",Android Pixel 6,Legitimate
100086,2024-01-01 01:26:00,130.79,PayPal,192.168.142.57,"Mumbai, India",Windows 10 PC,Legitimate
100087,2024-01-01 01:27:00,101.49,Debit Card,192.168.180.44,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100088,2024-01-01 01:28:00,218.23,Net Banking,192.168.194.235,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100089,2024-01-01 01:29:00,63.91,Credit Card,192.168.235.169,"Mumbai, India",MacBook Pro,Legitimate
100090,2024-01-01 01:30:00,12.74,PayPal,192.168.224.151,"Tokyo, Japan",iPhone 12,Legitimate
100091,2024-01-01 01:31:00,124.91,Net Banking,192.168.37.50,"New York, USA",MacBook Pro,Legitimate
100092,2024-01-01 01:32:00,143.04,PayPal,192.168.23.204,"Sydney, Australia",Windows 10 PC,Legitimate
100093,2024-01-01 01:33:00,82.39,Debit Card,192.168.90.160,"Tokyo, Japan",Windows 10 PC,Legitimate
100094,2024-01-01 01:34:00,147.39,Net Banking,192.168.146.24,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100095,2024-01-01 01:35:00,68.08,Credit Card,192.168.69.224,"Tokyo, Japan",Android Pixel 6,Legitimate
100096,2024-01-01 01:36:00,73.97,Credit Card,192.168.216.214,"Mumbai, India",iPhone 12,Legitimate
100097,2024-01-01 01:37:00,55.78,Net Banking,192.168.48.16,"New York, USA",iPhone 12,Legitimate
100098,2024-01-01 01:38:00,2.57,Credit Card,192.168.148.42,"Sydney, Australia",Windows 10 PC,Legitimate
100099,2024-01-01 01:39:00,11.42,PayPal,192.168.211.203,"Mumbai, India",MacBook Pro,Legitimate
100100,2024-01-01 01:40:00,3.19,Net Banking,192.168.247.204,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100101,2024-01-01 01:41:00,101.17,Credit Card,192.168.81.149,"Berlin, Germany",iPhone 12,Legitimate
100102,2024-01-01 01:42:00,37.74,PayPal,192.168.62.23,"New York, USA",MacBook Pro,Legitimate
100103,2024-01-01 01:43:00,71.04,Credit Card,192.168.32.194,"Sydney, Australia",MacBook Pro,Legitimate
100104,2024-01-01 01:44:00,238.13,PayPal,192.168.208.230,"Berlin, Germany",Windows 10 PC,Legitimate
100105,2024-01-01 01:45:00,28.67,Debit Card,192.168.223.16,"Mumbai, India",Samsung Galaxy S21,Legitimate
100106,2024-01-01 01:46:00,52.83,PayPal,192.168.175.43,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100107,2024-01-01 01:47:00,140.87,Credit Card,192.168.152.199,"Sydney, Australia",Android Pixel 6,Legitimate
100108,2024-01-01 01:48:00,25.98,PayPal,192.168.254.106,"Tokyo, Japan",Samsung Galaxy S21,Legitimate
100109,2024-01-01 01:49:00,8.01,Credit Card,192.168.98.187,"Berlin, Germany",Windows 10 PC,Legitimate
100110,2024-01-01 01:50:00,34.21,Net Banking,192.168.28.11,"Berlin, Germany",MacBook Pro,Legitimate
100111,2024-01-01 01:51:00,17.58,Net Banking,192.168.99.126,"Berlin, Germany",iPhone 12,Legitimate
100112,2024-01-01 01:52:00,265.5,Debit Card,192.168.136.217,"Tokyo, Japan",MacBook Pro,Legitimate
100113,2024-01-01 01:53:00,165.09,PayPal,192.168.85.52,"Sydney, Australia",iPhone 12,Legitimate
100114,2024-01-01 01:54:00,100.35,Debit Card,192.168.60.158,"Mumbai, India",Android Pixel 6,Legitimate
100115,2024-01-01 01:55:00,205.15,Net Banking,192.168.244.112,"Sydney, Australia",Android Pixel 6,Legitimate
100116,2024-01-01 01:56:00,162.8,PayPal,192.168.47.107,"New York, USA",Android Pixel 6,Legitimate
100117,2024-01-01 01:57:00,20.65,PayPal,192.168.221.78,"Mumbai, India",MacBook Pro,Legitimate
100118,2024-01-01 01:58:00,223.08,Debit Card,192.168.46.160,"Tokyo, Japan",Windows 10 PC,Legitimate
100119,2024-01-01 01:59:00,77.51,Debit Card,192.168.66.225,"New York, USA",Samsung Galaxy S21,Legitimate
100120,2024-01-01 02:00:00,164.73,PayPal,192.168.63.121,"Berlin, Germany",iPhone 12,Legitimate
100121,2024-01-01 02:01:00,226.42,PayPal,192.168.253.144,"Berlin, Germany",Windows 10 PC,Legitimate
100122,2024-01-01 02:02:00,38.27,PayPal,192.168.43.4,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100123,2024-01-01 02:03:00,11.66,Debit Card,192.168.93.189,"Tokyo, Japan",iPhone 12,Legitimate
100124,2024-01-01 02:04:00,25.87,Credit Card,192.168.234.242,"Tokyo, Japan",MacBook Pro,Legitimate
100125,2024-01-01 02:05:00,55.71,Net Banking,192.168.190.78,"Berlin, Germany",iPhone 12,Legitimate
100126,2024-01-01 02:06:00,170.38,Net Banking,192.168.253.38,"Berlin, Germany",MacBook Pro,Legitimate
100127,2024-01-01 02:07:00,197.13,Debit Card,192.168.199.169,"Tokyo, Japan",Samsung Galaxy S21,Legitimate
100128,2024-01-01 02:08:00,0.7,PayPal,192.168.101.91,"Tokyo, Japan",Windows 10 PC,Legitimate
100129,2024-01-01 02:09:00,71.49,Net Banking,192.168.20.174,"Sydney, Australia",iPhone 12,Legitimate
100130,2024-01-01 02:10:00,54.03,Net Banking,192.168.73.27,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100131,2024-01-01 02:11:00,25.12,Net Banking,192.168.148.112,"Tokyo, Japan",Android Pixel 6,Legitimate
100132,2024-01-01 02:12:00,12.77,Net Banking,192.168.27.85,"New York, USA",Windows 10 PC,Legitimate
100133,2024-01-01 02:13:00,41.19,PayPal,192.168.101.18,"New York, USA",Android Pixel 6,Legitimate
100134,2024-01-01 02:14:00,286.31,Debit Card,192.168.62.115,"New York, USA",Android Pixel 6,Legitimate
100135,2024-01-01 02:15:00,39.04,PayPal,192.168.179.37,"Mumbai, India",Windows 10 PC,Legitimate
100136,2024-01-01 02:16:00,73.15,PayPal,192.168.45.151,"New York, USA",iPhone 12,Legitimate
100137,2024-01-01 02:17:00,121.41,Net Banking,192.168.91.172,"Tokyo, Japan",Samsung Galaxy S21,Legitimate
100138,2024-01-01 02:18:00,45.2,Net Banking,192.168.204.8,"Mumbai, India",Windows 10 PC,Legitimate
100139,2024-01-01 02:19:00,356.78,PayPal,192.168.8.20,"Berlin, Germany",iPhone 12,Legitimate
100140,2024-01-01 02:20:00,328.2,PayPal,192.168.23.94,"Tokyo, Japan",Windows 10 PC,Legitimate
100141,2024-01-01 02:21:00,29.01,PayPal,192.168.191.92,"New York, USA",Windows 10 PC,Legitimate
100142,2024-01-01 02:22:00,68.77,Credit Card,192.168.39.201,"Berlin, Germany",iPhone 12,Legitimate
100143,2024-01-01 02:23:00,35.79,Net Banking,192.168.179.131,"New York, USA",Android Pixel 6,Legitimate
100144,2024-01-01 02:24:00,33.52,Debit Card,192.168.130.140,"Sydney, Australia",MacBook Pro,Legitimate
100145,2024-01-01 02:25:00,3.76,Debit Card,192.168.20.7,"Mumbai, India",iPhone 12,Legitimate
100146,2024-01-01 02:26:00,94.05,Debit Card,192.168.119.200,"Berlin, Germany",MacBook Pro,Legitimate
100147,2024-01-01 02:27:00,69.85,Credit Card,192.168.109.128,"New York, USA",MacBook Pro,Legitimate
100148,2024-01-01 02:28:00,5.29,Credit Card,192.168.13.75,"Sydney, Australia",Windows 10 PC,Legitimate
100149,2024-01-01 02:29:00,32.66,Debit Card,192.168.35.149,"Mumbai, India",iPhone 12,Legitimate
100150,2024-01-01 02:30:00,238.89,Debit Card,192.168.116.163,"New York, USA",iPhone 12,Legitimate
100151,2024-01-01 02:31:00,27.39,Debit Card,192.168.44.143,"Tokyo, Japan",Android Pixel 6,Legitimate
100152,2024-01-01 02:32:00,15.65,PayPal,192.168.254.10,"Sydney, Australia",MacBook Pro,Legitimate
100153,2024-01-01 02:33:00,67.23,Net Banking,192.168.66.97,"Berlin, Germany",Android Pixel 6,Legitimate
100154,2024-01-01 02:34:00,424.4,Credit Card,192.168.152.254,"New York, USA",Samsung Galaxy S21,Legitimate
100155,2024-01-01 02:35:00,27.71,Credit Card,192.168.89.194,"Berlin, Germany",MacBook Pro,Legitimate
100156,2024-01-01 02:36:00,111.52,PayPal,192.168.211.158,"Tokyo, Japan",Android Pixel 6,Legitimate
100157,2024-01-01 02:37:00,143.39,Credit Card,192.168.112.192,"Berlin, Germany",Android Pixel 6,Legitimate
100158,2024-01-01 02:38:00,27.13,Debit Card,192.168.89.88,"Sydney, Australia",MacBook Pro,Legitimate
100159,2024-01-01 02:39:00,130.27,Credit Card,192.168.10.79,"Mumbai, India",Android Pixel 6,Legitimate
100160,2024-01-01 02:40:00,45.85,PayPal,192.168.83.105,"New York, USA",Samsung Galaxy S21,Legitimate
100161,2024-01-01 02:41:00,100.05,Net Banking,192.168.115.165,"Mumbai, India",iPhone 12,Legitimate
100162,2024-01-01 02:42:00,100.38,Debit Card,192.168.1.53,"New York, USA",Samsung Galaxy S21,Legitimate
100163,2024-01-01 02:43:00,76.74,Credit Card,192.168.92.6,"Berlin, Germany",MacBook Pro,Legitimate
100164,2024-01-01 02:44:00,9.46,Debit Card,192.168.176.39,"Berlin, Germany",Windows 10 PC,Legitimate
100165,2024-01-01 02:45:00,180.36,Net Banking,192.168.44.181,"Sydney, Australia",MacBook Pro,Legitimate
100166,2024-01-01 02:46:00,38.68,Credit Card,192.168.216.188,"Berlin, Germany",iPhone 12,Legitimate
100167,2024-01-01 02:47:00,20.64,Debit Card,192.168.131.106,"Tokyo, Japan",Samsung Galaxy S21,Legitimate
100168,2024-01-01 02:48:00,4.16,PayPal,192.168.33.216,"Sydney, Australia",Android Pixel 6,Legitimate
100169,2024-01-01 02:49:00,89.38,PayPal,192.168.7.31,"New York, USA",Android Pixel 6,Legitimate
100170,2024-01-01 02:50:00,113.19,Net Banking,192.168.145.167,"Berlin, Germany",Windows 10 PC,Legitimate
100171,2024-01-01 02:51:00,1.67,Net Banking,192.168.74.183,"New York, USA",Samsung Galaxy S21,Legitimate
100172,2024-01-01 02:52:00,71.76,Net Banking,192.168.36.230,"Berlin, Germany",Android Pixel 6,Legitimate
100173,2024-01-01 02:53:00,25.68,Credit Card,192.168.182.35,"Sydney, Australia",MacBook Pro,Legitimate
100174,2024-01-01 02:54:00,103.61,Net Banking,192.168.245.9,"Tokyo, Japan",Android Pixel 6,Legitimate
100175,2024-01-01 02:55:00,19.16,Credit Card,192.168.69.236,"New York, USA",iPhone 12,Legitimate
100176,2024-01-01 02:56:00,117.42,Debit Card,192.168.207.117,"Mumbai, India",Samsung Galaxy S21,Legitimate
100177,2024-01-01 02:57:00,48.9,PayPal,192.168.216.190,"Berlin, Germany",Android Pixel 6,Legitimate
100178,2024-01-01 02:58:00,276.03,Debit Card,192.168.161.94,"Sydney, Australia",Android Pixel 6,Legitimate
100179,2024-01-01 02:59:00,14.79,PayPal,192.168.249.247,"New York, USA",iPhone 12,Legitimate
100180,2024-01-01 03:00:00,41.71,Net Banking,192.168.238.71,"Sydney, Australia",Android Pixel 6,Legitimate
100181,2024-01-01 03:01:00,12.04,Debit Card,192.168.144.122,"New York, USA",Windows 10 PC,Legitimate
100182,2024-01-01 03:02:00,258.62,Debit Card,192.168.60.205,"Tokyo, Japan",Samsung Galaxy S21,Legitimate
100183,2024-01-01 03:03:00,209.83,Net Banking,192.168.221.145,"Berlin, Germany",Android Pixel 6,Legitimate
100184,2024-01-01 03:04:00,29.83,Debit Card,192.168.188.237,"New York, USA",MacBook Pro,Legitimate
100185,2024-01-01 03:05:00,107.88,Credit Card,192.168.35.212,"Mumbai, India",Android Pixel 6,Legitimate
100186,2024-01-01 03:06:00,169.95,PayPal,192.168.180.222,"Berlin, Germany",Windows 10 PC,Legitimate
100187,2024-01-01 03:07:00,81.01,Net Banking,192.168.245.246,"Berlin, Germany",MacBook Pro,Legitimate
100188,2024-01-01 03:08:00,75.43,Credit Card,192.168.160.150,"Sydney, Australia",Windows 10 PC,Legitimate
100189,2024-01-01 03:09:00,27.69,Credit Card,192.168.191.37,"Berlin, Germany",iPhone 12,Legitimate
100190,2024-01-01 03:10:00,9.77,Net Banking,192.168.196.206,"New York, USA",MacBook Pro,Legitimate
100191,2024-01-01 03:11:00,227.51,Debit Card,192.168.157.143,"Tokyo, Japan",MacBook Pro,Legitimate
100192,2024-01-01 03:12:00,230.68,PayPal,192.168.181.186,"New York, USA",Windows 10 PC,Legitimate
100193,2024-01-01 03:13:00,100.27,Credit Card,192.168.103.220,"Berlin, Germany",Windows 10 PC,Legitimate
100194,2024-01-01 03:14:00,41.4,Debit Card,192.168.91.5,"Mumbai, India",iPhone 12,Legitimate
100195,2024-01-01 03:15:00,42.96,Net Banking,192.168.132.229,"Mumbai, India",MacBook Pro,Legitimate
100196,2024-01-01 03:16:00,129.45,Net Banking,192.168.216.91,"New York, USA",MacBook Pro,Legitimate
100197,2024-01-01 03:17:00,227.41,PayPal,192.168.0.13,"New York, USA",MacBook Pro,Legitimate
100198,2024-01-01 03:18:00,218.11,Net Banking,192.168.82.30,"New York, USA",MacBook Pro,Legitimate
100199,2024-01-01 03:19:00,151.36,PayPal,192.168.178.120,"New York, USA",iPhone 12,Legitimate
100200,2024-01-01 03:20:00,102.73,Net Banking,192.168.78.146,"Sydney, Australia",Android Pixel 6,Legitimate
100201,2024-01-01 03:21:00,8.79,Net Banking,192.168.101.31,"New York, USA",MacBook Pro,Legitimate
100202,2024-01-01 03:22:00,17.63,Credit Card,192.168.56.30,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100203,2024-01-01 03:23:00,228.82,Debit Card,192.168.57.228,"Berlin, Germany",iPhone 12,Legitimate
100204,2024-01-01 03:24:00,93.25,Credit Card,192.168.153.47,"New York, USA",Android Pixel 6,Legitimate
100205,2024-01-01 03:25:00,0.92,PayPal,192.168.122.40,"New York, USA",Windows 10 PC,Legitimate
100206,2024-01-01 03:26:00,10.7,Credit Card,192.168.152.174,"Mumbai, India",Android Pixel 6,Legitimate
100207,2024-01-01 03:27:00,108.92,Net Banking,192.168.181.231,"Berlin, Germany",Windows 10 PC,Legitimate
100208,2024-01-01 03:28:00,0.51,Net Banking,192.168.120.184,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100209,2024-01-01 03:29:00,17.53,Debit Card,192.168.199.60,"New York, USA",iPhone 12,Legitimate
100210,2024-01-01 03:30:00,79.57,PayPal,192.168.131.158,"Berlin, Germany",Android Pixel 6,Legitimate
100211,2024-01-01 03:31:00,117.73,Net Banking,192.168.119.95,"Tokyo, Japan",Windows 10 PC,Legitimate
100212,2024-01-01 03:32:00,105.54,Debit Card,192.168.225.111,"Mumbai, India",MacBook Pro,Legitimate
100213,2024-01-01 03:33:00,25.39,Debit Card,192.168.194.40,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100214,2024-01-01 03:34:00,124.54,Net Banking,192.168.25.195,"Tokyo, Japan",Samsung Galaxy S21,Fraudulent
100215,2024-01-01 03:35:00,27.08,Net Banking,192.168.193.18,"New York, USA",iPhone 12,Fraudulent
100216,2024-01-01 03:36:00,39.36,PayPal,192.168.86.24,"Mumbai, India",iPhone 12,Fraudulent
100217,2024-01-01 03:37:00,137.24,Debit Card,192.168.46.198,"Mumbai, India",iPhone 12,Legitimate
100218,2024-01-01 03:38:00,104.88,Debit Card,192.168.7.2,"Mumbai, India",iPhone 12,Legitimate
100219,2024-01-01 03:39:00,189.2,Debit Card,192.168.214.238,"Tokyo, Japan",MacBook Pro,Legitimate
100220,2024-01-01 03:40:00,107.18,PayPal,192.168.32.111,"Sydney, Australia",Samsung Galaxy S21,Legitimate
100221,2024-01-01 03:41:00,84.0,Debit Card,192.168.155.21,"Mumbai, India",MacBook Pro,Legitimate
100222,2024-01-01 03:42:00,9.84,Credit Card,192.168.98.97,"Tokyo, Japan",iPhone 12,Legitimate
100223,2024-01-01 03:43:00,45.84,Credit Card,192.168.29.46,"Sydney, Australia",Android Pixel 6,Legitimate
100224,2024-01-01 03:44:00,30.82,Debit Card,192.168.163.58,"Tokyo, Japan",Windows 10 PC,Legitimate
100225,2024-01-01 03:45:00,27.97,Credit Card,192.168.13.72,"Tokyo, Japan",Android Pixel 6,Legitimate
100226,2024-01-01 03:46:00,361.23,Credit Card,192.168.213.219,"Tokyo, Japan",Samsung Galaxy S21,Legitimate
100227,2024-01-01 03:47:00,49.94,PayPal,192.168.104.13,"Mumbai, India",Samsung Galaxy S21,Legitimate
100228,2024-01-01 03:48:00,222.61,Debit Card,192.168.206.183,"New York, USA",MacBook Pro,Legitimate
100229,2024-01-01 03:49:00,99.73,PayPal,192.168.228.151,"Mumbai, India",Windows 10 PC,Legitimate
100230,2024-01-01 03:50:00,158.38,Debit Card,192.168.225.247,"Mumbai, India",iPhone 12,Legitimate
100231,2024-01-01 03:51:00,69.84,Net Banking,192.168.48.170,"Mumbai, India",iPhone 12,Legitimate
100232,2024-01-01 03:52:00,86.02,Credit Card,192.168.236.235,"Mumbai, India",Android Pixel 6,Legitimate
100233,2024-01-01 03:53:00,67.83,PayPal,192.168.2.22,"Sydney, Australia",Windows 10 PC,Fraudulent
100234,2024-01-01 03:54:00,21.72,PayPal,192.168.147.108,"Sydney, Australia",MacBook Pro,Legitimate
100235,2024-01-01 03:55:00,128.18,Net Banking,192.168.142.42,"Tokyo, Japan",iPhone 12,Legitimate
100236,2024-01-01 03:56:00,32.96,Net Banking,192.168.207.70,"Berlin, Germany",Samsung Galaxy S21,Legitimate
100237,2024-01-01 03:57:00,2.46,Credit Card,192.168.160.54,"Berlin, Germany",iPhone 12,Legitimate
100238,2024-01-01 03:58:00,103.7,Credit Card,192.168.125.210,"New York, USA",Windows 10 PC,Legitimate
100239,2024-01-01 03:59:00,19.49,Debit Card,192.168.81.40,"Tokyo, Japan",Samsung Galaxy S21,Fraudulent
